Audio_Song,Lyric_Song,Quadrant,Artist,Title,Genres
A001,L051,Q4,Louis Armstrong,What a Wonderful World,"Jazz,Vocal Jazz,Traditional Pop,Early Pop/Rock,Pop/Rock,Vocal,Vocal Pop"
A002,L052,Q4,Rod Stewart,Country Comfort,Pop/Rock
A003,L053,Q3,Stevie Wonder,Lately,"Soul,Pop-Soul,Smooth Soul,R&B"
A004,L054,Q3,Johnny Cash,I'm So Lonesome I Could Cry,"Outlaw Country,Country"
A005,L055,Q1,Prince,U Got the Look,"Dance-Rock,R&B,Contemporary Pop/Rock,Contemporary R&B"
A011,L061,Q1,The Beatles,P.S. I Love You,"Contemporary Pop/Rock,Pop/Rock,Early Pop/Rock,British Invasion,Merseybeat"
A013,L063,Q2,The Clash,London Calling,"Pop/Rock,New Wave,British Punk,Punk/New Wave,Punk,Hard Rock"
A014,L064,Q1,Jamiroquai,Feels Just Like It Should,"Electronic,Pop/Rock,R&B"
A017,L067,Q4,Billy Joel,Just The Way You Are,"Soft Rock,Contemporary Pop/Rock,Pop/Rock"
A018,L068,Q3,Tony Bennett,Solitude,"Vocal Jazz,Jazz"
A019,L069,Q1,The Beach Boys,California Girls,"Sunshine Pop,Baroque Pop,Early Pop/Rock,Contemporary Pop/Rock,Pop/Rock"
A021,L071,Q4,Dionne Warwick,That's What Friends Are For,"Soft Rock,Early Pop/Rock,Pop/Rock"
A023,L073,Q2,Papa Roach,Last Resort,"Alternative Metal,Pop/Rock,Heavy Metal"
A024,L074,Q1,Sade,Paradise,"R&B,Urban"
A025,L075,Q2,DMX,Bring Your Whole Crew,"East Coast Rap,Rap,Hardcore Rap"
A029,L079,Q3,Eric Clapton,Tears in Heaven,"Album Rock,Adult Contemporary,Pop/Rock,Soft Rock,Contemporary Pop/Rock"
A030,L080,Q4,Elvis Presley (John Denver),White Christmas,"Rock & Roll,Pop/Rock"
A032,L082,Q4,Enya,May It Be,"New Age,Celtic New Age,Adult Alternative,International,Celtic,Contemporary Celtic"
A034,L084,Q3,Anathema,Natural Disaster,"Heavy Metal,Goth Metal,Doom Metal,Pop/Rock"
A035,L085,Q3,Dream Theater,Disappear,"Neo-Prog,Prog-Rock,Heavy Metal,Hard Rock,Progressive Metal,Pop/Rock"
A038,L088,Q3,Joy Division,The Eternal,"Post-Punk,Alternative/Indie Rock,Pop/Rock"
A039,L089,Q1,ABBA,Dancing Queen,"Disco,R&B,Swedish Pop/Rock,Euro-Pop,Contemporary Pop/Rock,Pop/Rock"
A042,L092,Q1,The Beach Boys,Do You Wanna Dance,"Rock & Roll,Pop/Rock,Early Pop/Rock,Contemporary Pop/Rock"
A043,L093,Q1,Mary J. Blige,Beautiful Day,"Contemporary R&B,R&B"
A045,L095,Q3,Johnny Cash,Hurt,"Traditional Country,Country"
A048,L098,Q3,R.E.M.,Everybody Hurts,"Adult Alternative Pop/Rock,Alternative/Indie Rock,Pop/Rock,Alternative Pop/Rock,College Rock"
A051,L101,Q2,Slayer,Can't Stand You,"Pop/Rock,Speed/Thrash Metal,Heavy Metal"
A055,L105,Q2,Bruce Springsteen,Born In The U.S.A.,"Album Rock,Contemporary Pop/Rock,Rock & Roll,Hard Rock,Heartland Rock,Pop/Rock"
A060,L110,Q3,Aimee Mann,Wise Up,"Alternative/Indie Rock,Contemporary Pop/Rock,Adult Alternative Pop/Rock,Pop/Rock"
A061-66,L111-66,Q3,Gary Jules,Mad World,"Alternative/Indie Rock,Adult Alternative Pop/Rock,Pop/Rock"
A064-116,L114-116,Q1,Lionel Richie,All Night Long (All Night),"R&B,Adult Contemporary,Urban,Contemporary Pop/Rock,Pop/Rock"
A066-140,L116-140,Q4,Enya,Journey of the Angels,"Holiday,Holidays,Christmas,Celtic New Age,Ethnic Fusion,Pop/Rock,Celtic,International,Adult Alternative,Alternative/Indie Rock,New Age,Contemporary Celtic,Adult Alternative Pop/Rock"
A067-104,L117-104,Q4,Loreena McKennitt,The Lady of Shalott,"Contemporary Celtic,Celtic,International,Celtic New Age"
A071-70,L121-70,Q3,Ben Folds Five,Brick,"Adult Alternative Pop/Rock,Alternative/Indie Rock,Contemporary Pop/Rock,Pop/Rock,Alternative Pop/Rock"
A073-143,L123-143,Q3,James Morrison,Broken Strings,"Contemporary Singer/Songwriter,Alternative/Indie Rock,Adult Alternative Pop/Rock,Pop/Rock"
A077-122,L127-122,Q1,Kool & the Gang,Celebration,"R&B,Club/Dance,Contemporary Pop/Rock,Disco,Dance-Pop,Urban,Funk,Pop/Rock"
A078-173,L128-173,Q4,Enya,China Roses,"New Age,International,Alternative/Indie Rock,Pop/Rock,Celtic,Adult Alternative,Adult Alternative Pop/Rock,Contemporary Celtic"
A081-67,L131-67,Q3,Radiohead,Creep,"Alternative Pop/Rock,Alternative/Indie Rock,Britpop,Pop/Rock"
A082-93,L132-93,Q2,Godsmack,Cryin' Like a Bitch!!,
A083-158,L133-158,Q3,Don McLean,Crying,"Soft Rock,Pop/Rock"
A084-75,L134-75,Q3,Luther Vandross,Dance With My Father,"Adult Contemporary,Contemporary R&B,R&B,Pop/Rock"
